Step number,Repeats,Cycle,Step name,Elapsed Time (s),Working Electrode (V),Working Electrode vs. NHE (V),Current (A),|Current| (A),Current Density (A/m^2),Cumulative Charge (mAh),Counter Electrode (V)
1,1,0,Cyclic Voltammetry,0.117860290000181,-9.97589874267578,-9.97589874267578,-9.81296852842206e-06,9.81296852842206e-06,0,-3.21266476811797e-07,0.000303015112876892
1,1,0,Cyclic Voltammetry,0.217852530000073,-9.92801475524902,-9.92801475524902,-2.08626829589775e-06,2.08626829589775e-06,0,-3.7921387685279e-07,0.00030873715877533
1,1,0,Cyclic Voltammetry,0.317844630000081,-9.87808895111084,-9.87808895111084,-1.28993201542471e-06,1.28993201542471e-06,0,-4.15042491041557e-07,0.000289663672447205
1,1,0,Cyclic Voltammetry,0.417836680000164,-9.82806873321533,-9.82806873321533,-9.64536411629524e-07,9.64536411629524e-07,0,-4.4183303912449e-07,0.000305876135826111
1,1,0,Cyclic Voltammetry,0.517829170000141,-9.77811241149902,-9.77811241149902,-7.73247506913322e-07,7.73247506913322e-07,0,-4.63310523458528e-07,0.000322088599205017
1,1,0,Cyclic Voltammetry,0.61782127000015,-9.72797107696533,-9.72797107696533,-6.39922291156836e-07,6.39922291156836e-07,0,-4.81084738383414e-07,0.000312551856040955
1,1,0,Cyclic Voltammetry,0.71781347000001,-9.67790508270264,-9.67790508270264,-5.3866853022555e-07,5.3866853022555e-07,0,-4.96046585996732e-07,0.000295385718345642
1,1,0,Cyclic Voltammetry,0.817805670000098,-9.62794971466064,-9.62794971466064,-4.5887560418123e-07,4.5887560418123e-07,0,-5.08792136326857e-07,0.000282987952232361
1,1,0,Cyclic Voltammetry,0.91779760999998,-9.5780200958252,-9.5780200958252,-3.91081641737401e-07,3.91081641737401e-07,0,-5.19654639675652e-07,0.000275358557701111
1,1,0,Cyclic Voltammetry,1.01779093000005,-9.52801704406738,-9.52801704406738,-3.35774871018657e-07,3.35774871018657e-07,0,-5.28981096377249e-07,0.000315412878990173
1,1,0,Cyclic Voltammetry,1.11778238000011,-9.47802829742432,-9.47802829742432,-2.86941769900295e-07,2.86941769900295e-07,0,-5.36951019610003e-07,0.000272497534751892
1,1,0,Cyclic Voltammetry,1.21777437000014,-9.42795944213867,-9.42795944213867,-2.44744114752393e-07,2.44744114752393e-07,0,-5.43748922686361e-07,0.000314459204673767
1,1,0,Cyclic Voltammetry,1.31776639000009,-9.37776374816895,-9.37776374816895,-2.08147454827667e-07,2.08147454827667e-07,0,-5.49530335038046e-07,0.000289663672447205
1,1,0,Cyclic Voltammetry,1.41775899000004,-9.32768154144287,-9.32768154144287,-1.77545089741216e-07,1.77545089741216e-07,0,-5.54461778132615e-07,0.000296339392662048
1,1,0,Cyclic Voltammetry,1.51775119000013,-9.2777271270752,-9.2777271270752,-1.48078768802407e-07,1.48078768802407e-07,0,-5.58574756428686e-07,0.000296339392662048
1,1,0,Cyclic Voltammetry,1.6177432500001,-9.22765827178955,-9.22765827178955,-1.24739088391834e-07,1.24739088391834e-07,0,-5.62039455987247e-07,0.000303968787193298
1,1,0,Cyclic Voltammetry,1.71773509000013,-9.17773818969727,-9.17773818969727,-1.01704010546655e-07,1.01704010546655e-07,0,-5.64864336862231e-07,0.000269636511802673
1,1,0,Cyclic Voltammetry,1.81772758000011,-9.12768936157227,-9.12768936157227,-8.06193867219918e-08,8.06193867219918e-08,0,-5.67103596090176e-07,0.00029347836971283
1,1,0,Cyclic Voltammetry,1.91771979000009,-9.0776195526123,-9.0776195526123,-6.31212913049239e-08,6.31212913049239e-08,0,-5.6885682870563e-07,0.000271543860435486
1,1,0,Cyclic Voltammetry,2.01771206000012,-9.02752113342285,-9.02752113342285,-4.68682266330234e-08,4.68682266330234e-08,0,-5.70158623253383e-07,0.000300154089927673
1,1,0,Cyclic Voltammetry,2.11770419000004,-8.97553825378418,-8.97553825378418,-9.22739928910232e-08,9.22739928910232e-08,0,-5.72721588001375e-07,0.000269636511802673
1,1,0,Cyclic Voltammetry,2.21769663000009,-8.92758750915527,-8.92758750915527,-7.85959173299489e-08,7.85959173299489e-08,0,-5.74904642875781e-07,0.000271543860435486
1,1,0,Cyclic Voltammetry,2.31768854000006,-8.87763118743896,-8.87763118743896,-6.62413555119201e-08,6.62413555119201e-08,0,-5.76744531669844e-07,0.00027059018611908
1,1,0,Cyclic Voltammetry,2.4176809600001,-8.82766532897949,-8.82766532897949,-5.49454490794687e-08,5.49454490794687e-08,0,-5.78270678453578e-07,0.000282034277915955
1,1,0,Cyclic Voltammetry,2.51767312000015,-8.77766799926758,-8.77766799926758,-4.46277539367657e-08,4.46277539367657e-08,0,-5.79510241095825e-07,0.000275358557701111
1,1,0,Cyclic Voltammetry,2.61766514999999,-8.72755241394043,-8.72755241394043,-3.52518192414664e-08,3.52518192414664e-08,0,-5.80489380253365e-07,0.000294432044029236
1,1,0,Cyclic Voltammetry,2.71765882,-8.6775369644165,-8.6775369644165,-2.65911008767716e-08,2.65911008767716e-08,0,-5.81227975188367e-07,0.000264868140220642
1,1,0,Cyclic Voltammetry,2.81764964000013,-8.62755680084229,-8.62755680084229,-1.88378361798414e-08,1.88378361798414e-08,0,-5.81751200379103e-07,0.000271543860435486
1,1,0,Cyclic Voltammetry,2.91764181000008,-8.57763767242432,-8.57763767242432,-1.16706777575359e-08,1.16706777575359e-08,0,-5.82075360488644e-07,0.000258192420005798
1,1,0,Cyclic Voltammetry,3.01763406999999,-8.52776336669922,-8.52776336669922,-4.9264015089534e-09,4.9264015089534e-09,0,-5.8221219438324e-07,0.000279173254966736
1,1,0,Cyclic Voltammetry,3.11762620000013,-8.4777889251709,-8.4777889251709,1.41858147451046e-09,1.41858147451046e-09,0,-5.82172792443458e-07,0.000268682837486267
1,1,0,Cyclic Voltammetry,3.21761842000001,-8.42781543731689,-8.42781543731689,7.25608639839948e-09,7.25608639839948e-09,0,-5.81971250169156e-07,0.00027059018611908
1,1,0,Cyclic Voltammetry,3.31761035,-8.37777328491211,-8.37777328491211,1.29965807005306e-08,1.29965807005306e-08,0,-5.81610263172588e-07,0.000273451209068298
1,1,0,Cyclic Voltammetry,3.41760234000003,-8.32766914367676,-8.32766914367676,1.77055632377687e-08,1.77055632377687e-08,0,-5.81118481366417e-07,0.000256285071372986
1,1,0,Cyclic Voltammetry,3.51759519000007,-8.27775573730469,-8.27775573730469,2.24684058025559e-08,2.24684058025559e-08,0,-5.80494403607763e-07,0.00025533139705658
1,1,0,Cyclic Voltammetry,3.61758707000013,-8.22777843475342,-8.22777843475342,2.63887791618345e-08,2.63887791618345e-08,0,-5.79761441485735e-07,0.000265821814537048
1,1,0,Cyclic Voltammetry,3.71758019000004,-8.17777252197266,-8.17777252197266,3.07129432997044e-08,3.07129432997044e-08,0,-5.78908362867703e-07,0.000271543860435486
1,1,0,Cyclic Voltammetry,3.81757130000005,-8.12782764434814,-8.12782764434814,3.41550219218334e-08,3.41550219218334e-08,0,-5.77959696602692e-07,0.00024770200252533
1,1,0,Cyclic Voltammetry,3.91756409000004,-8.07771587371826,-8.07771587371826,3.7906971783741e-08,3.7906971783741e-08,0,-5.76906801083495e-07,0.000260099768638611
1,1,0,Cyclic Voltammetry,4.01755585000001,-8.02760887145996,-8.02760887145996,4.11556371204824e-08,4.11556371204824e-08,0,-5.75763683141941e-07,0.000242933630943298
1,1,0,Cyclic Voltammetry,4.11754816999996,-7.97556400299072,-7.97556400299072,3.34465681817164e-08,3.34465681817164e-08,0,-5.74834683156239e-07,0.000246748328208923
1,1,0,Cyclic Voltammetry,4.21754023000017,-7.92772674560547,-7.92772674560547,3.63986067952737e-08,3.63986067952737e-08,0,-5.73823691024406e-07,0.000195249915122986
1,1,0,Cyclic Voltammetry,4.31753245000004,-7.87777662277222,-7.87777662277222,3.90944379091707e-08,3.90944379091707e-08,0,-5.72737818903244e-07,0.000229105353355408
1,1,0,Cyclic Voltammetry,4.41752495000014,-7.82779121398926,-7.82779121398926,4.15697307687424e-08,4.15697307687424e-08,0,-5.71583190763272e-07,0.000207170844078064
1,1,0,Cyclic Voltammetry,4.51751703000014,-7.777756690979,-7.777756690979,4.40102212451166e-08,4.40102212451166e-08,0,-5.70360781440061e-07,0.000240549445152283
1,1,0,Cyclic Voltammetry,4.61750918999996,-7.72763633728027,-7.72763633728027,4.62196965145267e-08,4.62196965145267e-08,0,-5.69077001637555e-07,0.00020812451839447
1,1,0,Cyclic Voltammetry,4.71750151000015,-7.6775279045105,-7.6775279045105,4.82616364649857e-08,4.82616364649857e-08,0,-5.67736503582794e-07,0.000227198004722595
1,1,0,Cyclic Voltammetry,4.81749343000001,-7.62759399414063,-7.62759399414063,5.00820043214389e-08,5.00820043214389e-08,0,-5.66345449202365e-07,0.000182375311851501
