Step number,Repeats,Cycle,Step name,Elapsed Time (s),Working Electrode (V),Working Electrode vs. NHE (V),Current (A),|Current| (A),Current Density (A/m^2),Cumulative Charge (mAh),Counter Electrode (V)
1,1,0,Cyclic Voltammetry,0.117814310000085,-9.67980766296387,-9.67980766296387,-9.4884217105573e-06,9.4884217105573e-06,0,-3.10519960227538e-07,0.000226721167564392
1,1,0,Cyclic Voltammetry,0.21773845000007,-9.10441970825195,-9.10441970825195,-1.51351696331403e-06,1.51351696331403e-06,0,-3.52530204931578e-07,0.000218138098716736
1,1,0,Cyclic Voltammetry,0.317662750000181,-8.50452041625977,-8.50452041625977,-6.40078951619216e-07,6.40078951619216e-07,0,-3.70296716371954e-07,0.00020192563533783
1,1,0,Cyclic Voltammetry,0.417586080000092,-7.904541015625,-7.904541015625,-2.84658909777136e-07,2.84658909777136e-07,0,-3.78197845866142e-07,0.00017140805721283
1,1,0,Cyclic Voltammetry,0.517510430000129,-7.30475330352783,-7.30475330352783,-6.88947636717785e-08,6.88947636717785e-08,0,-3.80110141554561e-07,0.000169500708580017
1,1,0,Cyclic Voltammetry,0.617434530000082,-6.70500898361206,-6.70500898361206,8.4662062249663e-08,8.4662062249663e-08,0,-3.77760202561662e-07,0.000148043036460876
1,1,0,Cyclic Voltammetry,0.717358560000321,-6.10538625717163,-6.10538625717163,1.99467805828135e-07,1.99467805828135e-07,0,-3.72223639502314e-07,0.000138506293296814
1,1,0,Cyclic Voltammetry,0.817282110000178,-5.50575733184814,-5.50575733184814,2.91726991008545e-07,2.91726991008545e-07,0,-3.64126307121105e-07,0.000107511878013611
1,1,0,Cyclic Voltammetry,0.917206430000078,-4.90607738494873,-4.90607738494873,3.70075326827646e-07,3.70075326827646e-07,0,-3.53854216737218e-07,9.03457403182983e-05
1,1,0,Cyclic Voltammetry,1.01712984000005,-4.30655717849731,-4.30655717849731,4.36681716564635e-07,4.36681716564635e-07,0,-3.4173345945839e-07,8.5100531578064e-05
1,1,0,Cyclic Voltammetry,1.11705439000025,-3.70719861984253,-3.70719861984253,4.95950757795072e-07,4.95950757795072e-07,0,-3.2796744382091e-07,6.03049993515015e-05
1,1,0,Cyclic Voltammetry,1.21697843000038,-3.10781192779541,-3.10781192779541,5.47658885352575e-07,5.47658885352575e-07,0,-3.12766252608022e-07,3.43173742294312e-05
1,1,0,Cyclic Voltammetry,1.31690245000027,-2.50812458992004,-2.50812458992004,5.92675462485204e-07,5.92675462485204e-07,0,-2.96315554061684e-07,2.16811895370483e-05
1,1,0,Cyclic Voltammetry,1.4168259500002,-1.90831911563873,-1.90831911563873,6.31651118965237e-07,6.31651118965237e-07,0,-2.78783112232273e-07,3.32295894622803e-06
1,1,0,Cyclic Voltammetry,1.51675009000019,-1.30867540836334,-1.30867540836334,6.67636186335585e-07,6.67636186335585e-07,0,-2.60251731189925e-07,-8.24034214019775e-06
1,1,0,Cyclic Voltammetry,1.61667436000016,-0.708818972110748,-0.708818972110748,6.97965901963471e-07,6.97965901963471e-07,0,-2.40878471956988e-07,-2.80290842056274e-05
1,1,0,Cyclic Voltammetry,1.71659857000031,-0.108686976134777,-0.108686976134777,7.27666360944568e-07,7.27666360944568e-07,0,-2.20680836884468e-07,-3.97041440010071e-05
1,1,0,Cyclic Voltammetry,1.81652252000004,0.491096496582031,0.491096496582031,7.51563050016557e-07,7.51563050016557e-07,0,-1.99819962264609e-07,-4.20361757278442e-05
1,1,0,Cyclic Voltammetry,1.91644636000001,1.09094405174255,1.09094405174255,7.77573120558372e-07,7.77573120558372e-07,0,-1.78237158907121e-07,-5.99771738052368e-05
1,1,0,Cyclic Voltammetry,2.0163702900004,1.69061088562012,1.69061088562012,7.98869052687223e-07,7.98869052687223e-07,0,-1.56063232434846e-07,-7.61896371841431e-05
1,1,0,Cyclic Voltammetry,2.1162941800003,2.31885528564453,2.31885528564453,7.6087337674835e-07,7.6087337674835e-07,0,-1.3494394698983e-07,-0.000111117959022522
1,1,0,Cyclic Voltammetry,2.21621829000014,2.88965010643005,2.88965010643005,7.78229491515958e-07,7.78229491515958e-07,0,-1.13342866624451e-07,-0.000145211815834045
1,1,0,Cyclic Voltammetry,2.31614225000021,3.48887372016907,3.48887372016907,7.95540245235316e-07,7.95540245235316e-07,0,-9.12613300568569e-08,-0.000165000557899475
1,1,0,Cyclic Voltammetry,2.41606625000031,4.08849668502808,4.08849668502808,8.12841051356372e-07,8.12841051356372e-07,0,-6.86995719413524e-08,-0.000198617577552795
