Step number,Repeats,Cycle,Step name,Elapsed Time (s),Working Electrode (V),Working Electrode vs. NHE (V),Current (A),|Current| (A),Current Density (A/m^2),Cumulative Charge (mAh),Counter Electrode (V)
1,1,0,Cyclic Voltammetry,0.117227419999836,-9.57080459594727,-9.57080459594727,-2.0887806385872e-05,2.0887806385872e-05,0,-6.80173236686627e-07,0.000268682837486267
1,1,0,Cyclic Voltammetry,0.217396109999981,-8.80138111114502,-8.80138111114502,-1.88089802577451e-06,1.88089802577451e-06,0,-7.32508539815987e-07,0.000233396887779236
1,1,0,Cyclic Voltammetry,0.317564449999963,-7.99950265884399,-7.99950265884399,2.03046198521406e-07,2.03046198521406e-07,0,-7.26858872968988e-07,0.00017903745174408
1,1,0,Cyclic Voltammetry,0.417732699999988,-7.19786262512207,-7.19786262512207,7.69345149365108e-07,7.69345149365108e-07,0,-7.05452218175124e-07,0.000158056616783142
1,1,0,Cyclic Voltammetry,0.517901489999986,-6.39631843566895,-6.39631843566895,1.01901753168931e-06,1.01901753168931e-06,0,-6.77098397858984e-07,0.000142797827720642
1,1,0,Cyclic Voltammetry,0.618069829999968,-5.59483623504639,-5.59483623504639,1.15876014206151e-06,1.15876014206151e-06,0,-6.44856431223305e-07,0.000135645270347595
1,1,0,Cyclic Voltammetry,0.718238229999997,-4.79339742660522,-4.79339742660522,1.25068868328526e-06,1.25068868328526e-06,0,-6.10056574472519e-07,0.000126585364341736
1,1,0,Cyclic Voltammetry,0.818406630000027,-3.99204230308533,-3.99204230308533,1.31337503717077e-06,1.31337503717077e-06,0,-5.7351249778547e-07,0.00010274350643158
1,1,0,Cyclic Voltammetry,0.918574549999903,-3.19100046157837,-3.19100046157837,1.35778327603475e-06,1.35778327603475e-06,0,-5.35732962626854e-07,8.15242528915405e-05
1,1,0,Cyclic Voltammetry,1.0187433399999,-2.38942623138428,-2.38942623138428,1.39292376388767e-06,1.39292376388767e-06,0,-4.96975327073835e-07,7.3656439781189e-05
1,1,0,Cyclic Voltammetry,1.11891163999985,-1.58784592151642,-1.58784592151642,1.42001181302476e-06,1.42001181302476e-06,0,-4.57464168937574e-07,2.66879796981812e-05
1,1,0,Cyclic Voltammetry,1.21908022000002,-0.786178946495056,-0.786178946495056,1.44198429552489e-06,1.44198429552489e-06,0,-4.1734152469722e-07,1.35749578475952e-05
1,1,0,Cyclic Voltammetry,1.31924832000004,0.0158782638609409,0.0158782638609409,1.46229012898402e-06,1.46229012898402e-06,0,-3.76654073622466e-07,-5.69969415664673e-06
1,1,0,Cyclic Voltammetry,1.41941687999997,0.817574381828308,0.817574381828308,1.47944581385673e-06,1.47944581385673e-06,0,-3.35489085630257e-07,-1.65849924087524e-05
1,1,0,Cyclic Voltammetry,1.51958530999991,1.61913633346558,1.61913633346558,1.49599293308711e-06,1.49599293308711e-06,0,-2.93863734686274e-07,-5.61624765396118e-05
1,1,0,Cyclic Voltammetry,1.61975297000004,2.42049694061279,2.42049694061279,1.51117171753867e-06,1.51117171753867e-06,0,-2.51816363907324e-07,-7.91698694229126e-05
1,1,0,Cyclic Voltammetry,1.71992194999984,3.22166848182678,3.22166848182678,1.5282813592421e-06,1.5282813592421e-06,0,-2.09292368099546e-07,-9.25213098526001e-05
1,1,0,Cyclic Voltammetry,1.82008990999998,4.02293491363525,4.02293491363525,1.54494330217858e-06,1.54494330217858e-06,0,-1.66305196184241e-07,-0.000123754143714905
1,1,0,Cyclic Voltammetry,1.92025859,4.82427406311035,4.82427406311035,1.56500402681559e-06,1.56500402681559e-06,0,-1.22759532972896e-07,-0.000162377953529358
1,1,0,Cyclic Voltammetry,2.02042742000003,5.625807762146,5.625807762146,1.5818568499526e-06,1.5818568499526e-06,0,-7.87448802264282e-08,-0.000200048089027405
1,1,0,Cyclic Voltammetry,2.12059523999983,6.44550848007202,6.44550848007202,1.54153315179428e-06,1.54153315179428e-06,0,-3.58526537618034e-08,-0.000227227807044983
1,1,0,Cyclic Voltammetry,2.22076347999996,7.22890520095825,7.22890520095825,1.5600812730554e-06,1.5600812730554e-06,0,7.55584495461934e-09,-0.000224843621253967
1,1,0,Cyclic Voltammetry,2.32093222000003,8.03067684173584,8.03067684173584,1.57974989178911e-06,1.57974989178911e-06,0,5.15118327812207e-08,-0.000258699059486389
1,1,0,Cyclic Voltammetry,2.42110034999996,8.83284187316895,8.83284187316895,1.60106003477267e-06,1.60106003477267e-06,0,9.60604965869984e-08,-0.000287309288978577
1,1,0,Cyclic Voltammetry,2.51756621000004,9.62078380584717,9.62078380584717,1.63087111104687e-06,1.63087111104687e-06,0,1.39761436663783e-07,-0.000343576073646545
1,1,1,Cyclic Voltammetry,2.6188264299999,9.60400676727295,9.60400676727295,-1.43397741680928e-07,1.43397741680928e-07,0,1.35727968088757e-07,-0.000319734215736389
1,1,1,Cyclic Voltammetry,2.71899506999989,8.80153179168701,8.80153179168701,-1.00797672075714e-06,1.00797672075714e-06,0,1.07681396624897e-07,-0.000273004174232483
1,1,1,Cyclic Voltammetry,2.81916346000003,7.99939966201782,7.99939966201782,-1.18650211788918e-06,1.18650211788918e-06,0,7.46675058246997e-08,-0.000250115990638733
1,1,1,Cyclic Voltammetry,2.91933167999991,7.19758653640747,7.19758653640747,-1.26797215216357e-06,1.26797215216357e-06,0,3.93868076325747e-08,-0.000219598412513733
1,1,1,Cyclic Voltammetry,3.01950016000001,6.39588165283203,6.39588165283203,-1.31692877403111e-06,1.31692877403111e-06,0,2.74382053171847e-09,-0.000180020928382874
1,1,1,Cyclic Voltammetry,3.11966877999998,5.59447526931763,5.59447526931763,-1.34997992518038e-06,1.34997992518038e-06,0,-3.48188533941122e-08,-0.000177159905433655
1,1,1,Cyclic Voltammetry,3.21983692000003,4.79297256469727,4.79297256469727,-1.37606127736944e-06,1.37606127736944e-06,0,-7.3107047471943e-08,-0.000151410698890686
1,1,1,Cyclic Voltammetry,3.32000545999995,3.99163889884949,3.99163889884949,-1.39633618800872e-06,1.39633618800872e-06,0,-1.11959535611353e-07,-0.000114694237709045
1,1,1,Cyclic Voltammetry,3.42017377999991,3.19038987159729,3.19038987159729,-1.41396765229729e-06,1.41396765229729e-06,0,-1.51302525684941e-07,-0.000111594796180725
1,1,1,Cyclic Voltammetry,3.52034207999986,2.3891932964325,2.3891932964325,-1.43061481594486e-06,1.43061481594486e-06,0,-1.9110870737048e-07,-7.08252191543579e-05
1,1,1,Cyclic Voltammetry,3.62051042999997,1.58789086341858,1.58789086341858,-1.44617558817117e-06,1.44617558817117e-06,0,-2.31347880280906e-07,-3.01748514175415e-05
1,1,1,Cyclic Voltammetry,3.72067898,0.78627872467041,0.78627872467041,-1.4611565575251e-06,1.4611565575251e-06,0,-2.72003972972665e-07,-4.30643558502197e-06
1,1,1,Cyclic Voltammetry,3.82084728999985,-0.0154060032218695,-0.0154060032218695,-1.47502896652441e-06,1.47502896652441e-06,0,-3.13045961521989e-07,1.67936086654663e-05
1,1,1,Cyclic Voltammetry,3.92101587999991,-0.817485332489014,-0.817485332489014,-1.48875801642134e-06,1.48875801642134e-06,0,-3.54470070232051e-07,3.47346067428589e-05
1,1,1,Cyclic Voltammetry,4.02118410999992,-1.61909866333008,-1.61909866333008,-1.50096889228735e-06,1.50096889228735e-06,0,-3.96233791683578e-07,6.00665807723999e-05
1,1,1,Cyclic Voltammetry,4.12135269999999,-2.42074394226074,-2.42074394226074,-1.51415383697895e-06,1.51415383697895e-06,0,-4.38364529153959e-07,7.41332769393921e-05
1,1,1,Cyclic Voltammetry,4.22152087999984,-3.22224473953247,-3.22224473953247,-1.52620509652479e-06,1.52620509652479e-06,0,-4.80830414383234e-07,9.91672277450562e-05
1,1,1,Cyclic Voltammetry,4.32168869999987,-4.02327919006348,-4.02327919006348,-1.53850976403191e-06,1.53850976403191e-06,0,-5.23638516914298e-07,0.000121340155601501
1,1,1,Cyclic Voltammetry,4.42185744999983,-4.82464218139648,-4.82464218139648,-1.55208920205041e-06,1.55208920205041e-06,0,-5.66824860041474e-07,0.000150904059410095
1,1,1,Cyclic Voltammetry,4.52202582999985,-5.62607765197754,-5.62607765197754,-1.56629266712116e-06,1.56629266712116e-06,0,-6.10406248672426e-07,0.00018666684627533
1,1,1,Cyclic Voltammetry,4.62219431999983,-6.42756795883179,-6.42756795883179,-1.58075602030294e-06,1.58075602030294e-06,0,-6.54390121898019e-07,0.000190958380699158
1,1,1,Cyclic Voltammetry,4.72236227999997,-7.22910833358765,-7.22910833358765,-1.59664728016651e-06,1.59664728016651e-06,0,-6.9881592770192e-07,0.00022481381893158
1,1,1,Cyclic Voltammetry,4.82253102000004,-8.03083229064941,-8.03083229064941,-1.61397235842742e-06,1.61397235842742e-06,0,-7.4372414368487e-07,0.000234350562095642
1,1,1,Cyclic Voltammetry,4.92269896999983,-8.83268070220947,-8.83268070220947,-1.63254867402429e-06,1.63254867402429e-06,0,-7.89148880893726e-07,0.000260099768638611
1,1,1,Cyclic Voltammetry,5.01919552000004,-9.62033557891846,-9.62033557891846,-1.65212202318799e-06,1.65212202318799e-06,0,-8.33433346287339e-07,0.000261053442955017
1,1,1,Cyclic Voltammetry,5.12045642999988,-9.47486877441406,-9.47486877441406,4.89878118514753e-07,4.89878118514753e-07,0,-8.19654039601281e-07,0.000200971961021423
1,1,1,Cyclic Voltammetry,5.22062495,-8.73760604858398,-8.73760604858398,1.01206990166247e-06,1.01206990166247e-06,0,-7.91493610660669e-07,0.000210508704185486
1,1,1,Cyclic Voltammetry,5.32079308999982,-7.99950313568115,-7.99950313568115,1.16267972316564e-06,1.16267972316564e-06,0,-7.59142648081499e-07,0.000181898474693298
1,1,1,Cyclic Voltammetry,5.42096205999997,-7.19780778884888,-7.19780778884888,1.25026792829885e-06,1.25026792829885e-06,0,-7.24354300692081e-07,0.000170931220054626
1,1,1,Cyclic Voltammetry,5.52113042999986,-6.39625120162964,-6.39625120162964,1.30525461372599e-06,1.30525461372599e-06,0,-6.88036182055478e-07,0.000171884894371033
1,1,1,Cyclic Voltammetry,5.62129873999993,-5.59475183486938,-5.59475183486938,1.34279287067329e-06,1.34279287067329e-06,0,-6.5067360079562e-07,0.000152334570884705
1,1,1,Cyclic Voltammetry,5.72146694999992,-4.79335594177246,-4.79335594177246,1.37051540605171e-06,1.37051540605171e-06,0,-6.12539691072949e-07,0.00011657178401947
1,1,1,Cyclic Voltammetry,5.82163515000002,-3.992023229599,-3.992023229599,1.3917915566708e-06,1.3917915566708e-06,0,-5.73813786904325e-07,9.36836004257202e-05
1,1,1,Cyclic Voltammetry,5.92180371999984,-3.19097900390625,-3.19097900390625,1.40913437007839e-06,1.40913437007839e-06,0,-5.34605182796449e-07,5.76823949813843e-05
1,1,1,Cyclic Voltammetry,6.02197222999985,-2.38944458961487,-2.38944458961487,1.42474766562373e-06,1.42474766562373e-06,0,-4.94962168687696e-07,3.14563512802124e-05
1,1,1,Cyclic Voltammetry,6.12214040000003,-1.58784353733063,-1.58784353733063,1.43854640555219e-06,1.43854640555219e-06,0,-4.5493534621422e-07,-1.20550394058228e-05
1,1,1,Cyclic Voltammetry,6.22230900999989,-0.786184728145599,-0.786184728145599,1.45148510455329e-06,1.45148510455329e-06,0,-4.1454833361461e-07,-4.68641519546509e-05
1,1,1,Cyclic Voltammetry,6.32247720999999,0.0158735904842615,0.0158735904842615,1.46452259741636e-06,1.46452259741636e-06,0,-3.73798724602758e-07,-4.23826277256012e-05
1,1,1,Cyclic Voltammetry,6.42264569999998,0.817549824714661,0.817549824714661,1.47692719565384e-06,1.47692719565384e-06,0,-3.32703844872602e-07,-5.71161508560181e-05
1,1,1,Cyclic Voltammetry,6.52281374999984,1.61911809444427,1.61911809444427,1.49032553053985e-06,1.49032553053985e-06,0,-2.91236344245049e-07,-8.94218683242798e-05
1,1,1,Cyclic Voltammetry,6.62298233999991,2.42047047615051,2.42047047615051,1.50435664636461e-06,1.50435664636461e-06,0,-2.49378209766279e-07,-0.000110402703285217
1,1,1,Cyclic Voltammetry,6.72315067999989,3.22163605690002,3.22163605690002,1.51856033880904e-06,1.51856033880904e-06,0,-2.0712496856397e-07,-0.000116363167762756
1,1,1,Cyclic Voltammetry,6.82331898999996,4.022864818573,4.022864818573,1.53436837990739e-06,1.53436837990739e-06,0,-1.64431888693728e-07,-0.000160947442054749
1,1,1,Cyclic Voltammetry,6.92348756000001,4.82422304153442,4.82422304153442,1.55032387283427e-06,1.55032387283427e-06,0,-1.21294742755187e-07,-0.000197663903236389
1,1,1,Cyclic Voltammetry,7.02365581000004,5.62574338912964,5.62574338912964,1.56753162627865e-06,1.56753162627865e-06,0,-7.76789372485134e-08,-0.00021912157535553
1,1,1,Cyclic Voltammetry,7.12382432000004,6.42712211608887,6.42712211608887,1.58460238708358e-06,1.58460238708358e-06,0,-3.35880316772327e-08,-0.000245824456214905
1,1,1,Cyclic Voltammetry,7.22399266000002,7.22881507873535,7.22881507873535,1.60340664479008e-06,1.60340664479008e-06,0,1.10260188654238e-08,-0.000259175896644592
1,1,1,Cyclic Voltammetry,7.32416108999996,8.03056335449219,8.03056335449219,1.62217179422441e-06,1.62217179422441e-06,0,5.61622415925473e-08,-0.00027872622013092
1,1,1,Cyclic Voltammetry,7.42432910999992,8.83275985717773,8.83275985717773,1.64257653523237e-06,1.64257653523237e-06,0,1.01866030268273e-07,-0.000305429100990295
1,1,2,Cyclic Voltammetry,7.62269552999987,9.46988773345947,9.46988773345947,-5.0160576847702e-07,5.0160576847702e-07,0,7.42266578949083e-08,-0.000230088829994202
1,1,2,Cyclic Voltammetry,7.72286366000003,8.76244735717773,8.76244735717773,-9.98861878542812e-07,9.98861878542812e-07,0,4.64338449776648e-08,-0.000272050499916077
1,1,2,Cyclic Voltammetry,7.82303179999985,7.99936437606812,7.99936437606812,-1.16727869681199e-06,1.16727869681199e-06,0,1.39549183329217e-08,-0.000244870781898499
1,1,2,Cyclic Voltammetry,7.9232002199999,7.19759035110474,7.19759035110474,-1.25254598515312e-06,1.25254598515312e-06,0,-2.08966239754639e-08,-0.000229611992835999
1,1,2,Cyclic Voltammetry,8.02336859999991,6.39589405059814,6.39589405059814,-1.30392891151132e-06,1.30392891151132e-06,0,-5.71778591702612e-08,-0.000224366784095764
1,1,2,Cyclic Voltammetry,8.12353693999989,5.59445285797119,5.59445285797119,-1.33908156385587e-06,1.33908156385587e-06,0,-9.44371862191563e-08,-0.000201478600502014
1,1,2,Cyclic Voltammetry,8.22370542999988,4.7929801940918,4.7929801940918,-1.36448988996563e-06,1.36448988996563e-06,0,-1.32403545079741e-07,-0.000159040093421936
1,1,2,Cyclic Voltammetry,8.32387397000002,3.99162411689758,3.99162411689758,-1.38529480864236e-06,1.38529480864236e-06,0,-1.70948811316263e-07,-0.000118032097816467
1,1,2,Cyclic Voltammetry,8.42404216999989,3.19038724899292,3.19038724899292,-1.4018140745975e-06,1.4018140745975e-06,0,-2.09953587034851e-07,-7.75009393692017e-05
1,1,2,Cyclic Voltammetry,8.52421064999999,2.38917446136475,2.38917446136475,-1.41795783292764e-06,1.41795783292764e-06,0,-2.49407665042792e-07,-6.9156289100647e-05
1,1,2,Cyclic Voltammetry,8.62437882999984,1.5878746509552,1.5878746509552,-1.43223201121145e-06,1.43223201121145e-06,0,-2.89258796681843e-07,-3.36319208145142e-05
1,1,2,Cyclic Voltammetry,8.72454754,0.786275744438171,0.786275744438171,-1.44608281971159e-06,1.44608281971159e-06,0,-3.29495532960706e-07,1.41561031341553e-06
